timestamp,symbol,price
2025-08-01 01:46:31,BTCUSDT,115304.28
2025-08-01 01:46:41,BTCUSDT,115273.98
2025-08-01 01:46:52,BTCUSDT,115253.27
2025-08-01 01:47:02,BTCUSDT,115250.01
2025-08-01 01:47:12,BTCUSDT,115171.20
2025-08-01 01:47:23,BTCUSDT,115171.21
2025-08-01 01:47:33,BTCUSDT,115213.03
2025-08-01 01:47:43,BTCUSDT,115229.09
2025-08-01 01:47:53,BTCUSDT,115187.30
2025-08-01 01:48:04,BTCUSDT,115186.34
2025-08-01 01:48:14,BTCUSDT,115197.90
2025-08-01 01:48:25,BTCUSDT,115220.00
2025-08-01 01:48:35,BTCUSDT,115194.09
2025-08-01 01:48:45,BTCUSDT,115176.28
2025-08-01 01:48:55,BTCUSDT,115126.70
2025-08-01 01:49:05,BTCUSDT,115080.99
2025-08-01 01:49:16,BTCUSDT,115078.00
2025-08-01 01:49:26,BTCUSDT,115078.03
2025-08-01 01:49:36,BTCUSDT,115096.00
2025-08-01 01:49:46,BTCUSDT,115106.30
2025-08-01 01:49:57,BTCUSDT,115128.00
2025-08-01 01:50:07,BTCUSDT,115176.28
2025-08-01 01:50:17,BTCUSDT,115171.92
2025-08-01 01:50:27,BTCUSDT,115108.92
2025-08-01 01:50:37,BTCUSDT,115118.02
2025-08-01 01:50:48,BTCUSDT,115102.04
2025-08-01 01:50:58,BTCUSDT,115060.11
2025-08-01 01:51:08,BTCUSDT,115161.65
2025-08-01 01:51:18,BTCUSDT,115157.71
2025-08-01 01:51:28,BTCUSDT,115200.00
2025-08-01 01:51:39,BTCUSDT,115205.77
2025-08-01 01:51:50,BTCUSDT,115258.30
2025-08-01 01:52:00,BTCUSDT,115203.12
2025-08-01 01:52:10,BTCUSDT,115193.00
2025-08-01 01:52:20,BTCUSDT,115229.73
2025-08-01 01:52:30,BTCUSDT,115237.64
2025-08-01 01:52:41,BTCUSDT,115231.74
2025-08-01 01:52:51,BTCUSDT,115226.37
2025-08-01 01:53:01,BTCUSDT,115252.63
